package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
abrt,0,0,2722,0,0,328,0,2722,0.0,Kirgyz (http://www.transifex.com/projects/p/fedora/language/ky/)
atril,703,0,727,274,0,86,690,1430,49.16083916083916,Kirgyz (http://www.transifex.com/projects/p/MATE/language/ky/)
audacious,357,0,219,199,0,37,361,576,61.979166666666664,Kirgyz (http://www.transifex.com/projects/p/audacious/language/ky/)
audacious-plugins,1059,4,2969,542,2,325,1085,4032,26.264880952380953,Kirgyz (http://www.transifex.com/projects/p/audacious/language/ky/)
banshee,1228,1972,1032,462,458,186,1179,4232,29.017013232514177,
bison,52,0,0,9,0,0,53,52,100.0,Kirghiz <i18n-team-ky-kyrgyz@lists.sourceforge.net>
bleachbit,360,0,620,142,0,79,343,980,36.734693877551024,Kirghiz <ky@li.org>
caja,2088,0,7048,754,0,730,1814,9136,22.854640980735553,Kirgyz (http://www.transifex.com/projects/p/MATE/language/ky/)
certmonger,0,0,1669,0,0,270,0,1669,0.0,Kirgyz (http://www.transifex.com/projects/p/certmonger/language/ky/)
cheese,576,0,0,125,0,0,441,576,100.0,Kirghiz <gnome-i18n@gnome.org>
cinnamon-desktop,231,0,0,31,0,0,200,231,100.0,Kirghiz <gnome-i18n@gnome.org>
cinnamon-translations,374,0,12628,146,0,3017,372,13002,2.8764805414551606,Kirghiz <ky@li.org>
control-center,1780,26,1672,695,11,415,1661,3478,51.178838412880964,Kirghiz <gnome-i18n@gnome.org>
dasher,471,0,0,182,0,0,472,471,100.0,
deluge,2,0,2724,2,0,875,2,2726,0.07336757153338225,Kirghiz <ky@li.org>
docky,13,0,1744,9,0,328,15,1757,0.7398975526465565,Kirghiz <ky@li.org>
engrampa,1374,0,11,302,0,5,1151,1385,99.2057761732852,Kirgyz (http://www.transifex.com/projects/p/MATE/language/ky/)
entangle,0,0,916,0,0,201,0,916,0.0,Kirgyz (http://www.transifex.com/projects/p/entangle/language/ky/)
eom,920,0,721,281,0,37,818,1641,56.06337599024985,Kirgyz (http://www.transifex.com/projects/p/MATE/language/ky/)
filezilla,1472,5,7922,630,2,953,1503,9399,15.661240557506117,Kirghiz <ky@li.org>
fonts-tweak-tool,0,0,164,0,0,49,0,164,0.0,Kirghiz
gdm,1012,0,0,180,0,0,845,1012,100.0,Kirghiz <gnome-i18n@gnome.org>
