package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
coreutils,12793,5992,1494,1236,271,114,19897,20279,63.08496474185118,Luganda <kbirabwa@yahoo.co.uk>
findutils,103,291,2019,27,30,148,129,2413,4.268545379196022,Luganda <kompyuta@kizito.freeuk.com>
gtk3,1889,0,10452,677,0,1878,2048,12341,15.306701239769874,Luganda <kbirabwa@yahoo.co.uk>
gtkspell3,10,0,5,5,0,1,11,15,66.66666666666666,Ganda <LL@li.org>
libfm,859,0,0,260,0,0,1024,859,100.0,lg <kbirabwa@yahoo.co.uk>
libgnomeui,332,0,894,129,0,191,309,1226,27.07993474714519,Luganda <kbirabwa@yahoo.co.uk>
lxappearance,212,0,0,74,0,0,208,212,100.0,Luganda <kbirabwa@yahoo.co.uk>
lxappearance-obconf,191,5,0,26,1,0,198,196,97.44897959183673,LANGUAGE <LL@li.org>
lxinput,72,0,0,24,0,0,87,72,100.0,Luganda <kbirabwa@yahoo.co.uk>
lxlauncher,51,0,0,11,0,0,34,51,100.0,LANGUAGE <LL@li.org>
lxpanel,929,33,25,308,13,15,1114,987,94.12360688956434,Luganda <kbirabwa@yahoo.co.uk>
lxpolkit,15,0,0,9,0,0,23,15,100.0,LANGUAGE <LL@li.org>
lxrandr,122,0,0,27,0,0,123,122,100.0,LANGUAGE <LL@li.org>
lxsession,36,0,0,14,0,0,36,36,100.0,LANGUAGE <LL@li.org>
lxsession-edit,64,0,0,11,0,0,62,64,100.0,LANGUAGE <LL@li.org>
lxshortcut,43,0,0,19,0,0,49,43,100.0,LANGUAGE <LL@li.org>
lxterminal,144,0,0,85,0,0,217,144,100.0,lg <kbirabwa@yahoo.co.uk>
mingw-gtk3,1889,0,10452,677,0,1878,2048,12341,15.306701239769874,Luganda <kbirabwa@yahoo.co.uk>
mingw-gtkspell3,10,0,5,5,0,1,11,15,66.66666666666666,Ganda <LL@li.org>
pcmanfm,799,0,0,201,0,0,897,799,100.0,lg <kbirabwa@yahoo.co.uk>
pootle,6476,54,287,3995,7,250,7216,6817,94.99779961860055,LANGUAGE <LL@li.org>
sugar-browse,0,0,134,0,0,41,0,134,0.0,LANGUAGE <LL@li.org>
vidalia,0,0,9310,0,0,1211,0,9310,0.0,LANGUAGE <LL@li.org>
virtaal,1422,39,192,449,12,83,1461,1653,86.02540834845736,LANGUAGE <LL@li.org>
