package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
ganyremote,490,0,2,138,0,2,495,492,99.59349593495935,Austrian
gdeskcal,85,0,0,33,0,0,82,85,100.0,
gnomebaker,1008,0,178,242,0,49,938,1186,84.99156829679595,German (Austria) <de_AT@li.org>
gourmet,1448,59,2019,363,16,412,1341,3526,41.06636415201361,German (Austria) <de_AT@li.org>
gpsdrive,673,287,1417,142,68,199,676,2377,28.31299957930164,german <de@li.org>
kanyremote,469,1,2,131,1,1,473,472,99.36440677966102,Austrian
liblicense,45,0,21,38,0,12,43,66,68.18181818181817,LANGUAGE <LL@li.org>
perl-libintl,5,0,17,5,0,17,5,22,22.727272727272727,German <guido@imperia.net>
texinfo,1,0,4624,1,0,574,1,4625,0.021621621621621623,German <de@li.org>
texlive,1,0,4381,1,0,563,1,4382,0.022820629849383843,German <de@li.org>
